"MSNDATE","THEATER","COUNTRY_FLYING_MISSION","NAF","UNIT_ID","AIRCRAFT_NAME","AC_ATTACKING","TAKEOFF_BASE","TAKEOFF_COUNTRY","TAKEOFF_LATITUDE","TAKEOFF_LONGITUDE","TGT_COUNTRY","TGT_LOCATION","TGT_LATITUDE","TGT_LONGITUDE","TONS_HE","TONS_IC","TONS_FRAG","TOTAL_TONS"
03/30/1941,"ETO","GREAT BRITAIN","RAF","84 SQDN","BLENHEIM",10,,,,,"ALBANIA","ELBASAN",41.1,20.07,0,0,0,0
11/24/1940,"ETO","GREAT BRITAIN","RAF","211 SQDN","BLENHEIM",9,,,,,"ALBANIA","DURAZZO",41.32,19.45,0,0,0,0
12/04/1940,"ETO","GREAT BRITAIN","RAF","211 SQDN","BLENHEIM",9,,,,,"ALBANIA","TEPELENE",40.3,20.02,0,0,0,0
12/31/1940,"ETO","GREAT BRITAIN","RAF","211 SQDN","BLENHEIM",9,,,,,"ALBANIA","VALONA",40.47,19.49,0,0,0,0
01/06/1941,"ETO","GREAT BRITAIN","RAF","211 SQDN","BLENHEIM",9,,,,,"ALBANIA","VALONA",40.47,19.49,0,0,0,0
02/12/1941,"ETO","GREAT BRITAIN","RAF","84 SQDN","BLENHEIM",9,,,,,"ALBANIA","ELBASAN",41.1,20.07,0,0,0,0
02/12/1941,"ETO","GREAT BRITAIN","RAF","11 SQDN","BLENHEIM",9,,,,,"ALBANIA","ELBASAN - DUKAJ AREA",41.1,20.07,0,0,0,0
03/04/1941,"ETO","GREAT BRITAIN","RAF","211 SQDN","BLENHEIM",9,,,,,"ALBANIA","NAVAL UNITS OFF HIMARE",40,19.75,0,0,0,0
03/07/1941,"ETO","GREAT BRITAIN","RAF","211 SQDN","BLENHEIM",9,,,,,"ALBANIA","BESIST",40.56,19.53,0,0,0,0
03/07/1941,"ETO","GREAT BRITAIN","RAF","211 SQDN","BLENHEIM",9,,,,,"ALBANIA","DRAGOTI",40.91,20.05,0,0,0,0
03/08/1941,"ETO","GREAT BRITAIN","RAF","211 SQDN","BLENHEIM",9,,,,,"ALBANIA","TEPELENE",40.3,20.02,0,0,0,0
11/28/1940,"ETO","GREAT BRITAIN","RAF","84 SQDN","BLENHEIM",8,,,,,"ALBANIA","DURAZZO",41.32,19.45,0,0,0,0
12/02/1940,"ETO","GREAT BRITAIN","RAF","211 SQDN","BLENHEIM",8,,,,,"ALBANIA","VALONA",40.47,19.49,0,0,0,0
